,Source,Target,number
1,101,101,221
2,101,102,53
3,101,103,50
4,101,104,109
5,101,106,152
6,101,108,54
7,101,109,68
8,101,152,72
9,101,182,59
10,102,101,79
11,102,102,660
12,102,103,141
13,102,104,106
14,102,106,153
15,102,107,420
16,102,108,113
17,102,109,69
18,102,111,55
19,102,113,396
20,102,114,98
21,102,116,102
22,102,130,70
23,102,151,232
24,102,152,505
25,102,153,148
26,102,154,185
27,102,182,213
28,102,183,174
29,102,184,215
30,102,419,95
31,102,421,185
32,102,427,69
33,102,438,191
34,102,914,60
35,103,101,94
36,103,102,122
37,103,103,465
38,103,104,113
39,103,106,206
40,103,107,123
41,103,108,124
42,103,109,86
43,103,111,53
44,103,113,234
45,103,114,74
46,103,116,106
47,103,151,161
48,103,152,311
49,103,154,251
50,103,182,248
51,103,183,88
52,103,184,62
53,103,421,83
54,103,438,53
55,104,101,111
56,104,102,149
57,104,103,101
58,104,104,294
59,104,106,100
60,104,107,132
61,104,108,121
62,104,109,58
63,104,113,292
64,104,114,107
65,104,115,54
66,104,116,75
67,104,151,106
68,104,152,206
69,104,154,86
70,104,182,146
71,104,183,55
72,104,184,83
73,105,102,63
74,105,103,66
75,105,105,123
76,105,106,77
77,105,108,112
78,105,109,101
79,105,112,137
80,105,113,111
81,105,114,131
82,105,151,68
83,105,152,68
84,106,101,123
85,106,102,228
86,106,103,273
87,106,104,96
88,106,105,61
89,106,106,1308
90,106,107,123
91,106,108,132
92,106,109,344
93,106,111,288
94,106,112,172
95,106,113,245
96,106,114,172
97,106,116,79
98,106,119,55
99,106,130,69
100,106,144,64
101,106,148,62
102,106,151,329
103,106,152,459
104,106,153,54
105,106,154,145
106,106,166,55
107,106,182,290
108,106,183,61
109,106,184,137
110,106,207,170
111,106,228,100
112,106,247,72
113,106,248,60
114,106,267,138
115,106,272,96
116,106,421,76
117,106,438,74
118,106,439,88
119,106,829,60
120,106,832,63
121,106,907,90
122,106,914,72
123,106,2219,68
124,107,102,290
125,107,103,73
126,107,104,165
127,107,106,69
128,107,107,618
129,107,108,80
130,107,113,432
131,107,114,68
132,107,116,81
133,107,151,133
134,107,152,192
135,107,153,259
136,107,154,132
137,107,155,65
138,107,166,68
139,107,182,88
140,107,183,141
141,107,184,127
142,107,438,87
143,107,906,69
144,107,3106,52
145,108,102,123
146,108,103,67
147,108,104,108
148,108,105,122
149,108,106,73
150,108,107,77
151,108,108,235
152,108,111,52
153,108,112,65
154,108,113,148
155,108,114,182
156,108,116,112
157,108,130,68
158,108,151,79
159,108,152,84
160,108,154,77
161,108,182,60
162,108,183,69
163,108,184,66
164,108,438,62
165,109,102,77
166,109,103,67
167,109,105,61
168,109,106,200
169,109,109,405
170,109,112,51
171,109,113,76
172,109,114,56
173,109,115,58
174,109,152,89
183,111,102,72
184,111,103,52
185,111,105,80
186,111,106,194
187,111,108,61
188,111,109,80
189,111,111,576
190,111,112,135
191,111,113,72
192,111,114,136
193,111,118,79
194,111,119,75
195,111,122,50
196,111,130,71
197,111,144,71
198,111,151,70
199,111,152,171
200,111,207,74
201,112,102,54
202,112,105,59
203,112,106,122
204,112,107,67
205,112,111,151
206,112,112,310
207,112,113,93
208,112,114,128
209,112,118,51
210,112,119,51
211,112,130,71
212,112,185,82
213,113,102,366
214,113,103,186
215,113,104,319
216,113,105,112
217,113,106,161
218,113,107,484
219,113,108,141
220,113,109,65
222,113,111,77
223,113,112,93
224,113,113,961
225,113,114,145
226,113,115,62
227,113,116,600
228,113,117,68
229,113,123,53
230,113,124,64
231,113,128,83
232,113,130,116
233,113,131,63
234,113,144,110
235,113,151,210
236,113,152,292
237,113,153,411
238,113,154,125
239,113,155,389
240,113,164,65
241,113,165,223
242,113,166,463
243,113,169,53
244,113,170,187
245,113,175,137
246,113,176,280
247,113,179,131
248,113,182,167
249,113,183,903
250,113,184,179
251,113,188,50
252,113,191,70
253,113,192,79
254,113,195,186
255,113,196,62
256,113,207,88
257,113,228,71
258,113,421,56
259,113,427,51
260,113,438,134
261,113,907,63
262,113,914,66
263,113,915,50
264,113,3102,291
265,113,3106,237
266,113,3107,82
267,114,102,109
268,114,103,91
269,114,104,135
270,114,105,91
271,114,106,110
272,114,107,118
273,114,108,93
274,114,111,80
275,114,112,78
276,114,113,178
277,114,114,373
278,114,115,52
279,114,116,100
280,114,122,60
281,114,124,117
282,114,128,113
283,114,130,122
284,114,134,64
285,114,135,59
286,114,144,172
287,114,146,50
288,114,148,56
289,114,150,62
290,114,151,78
291,114,152,129
292,114,153,107
293,114,154,65
294,114,155,84
295,114,166,91
296,114,176,91
297,114,182,73
298,114,183,132
299,114,207,66
300,114,437,65
301,114,3102,89
302,114,3106,51
303,115,104,60
304,115,107,69
305,115,108,52
